Country,Year,Tempurate_Change,Coastal_or_Landlocked,CO2 emission (Tons),Rural population,Urban population,Savanna fires,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use
Benin,1990,0.58,Coastal,10814209.0,3261667.0,1716829.0,1035.3695,595.2731,43.449,6.1434,0.0,11.606164948241496,47.9563,-64.262,15058.7287,9.9803,99.0022,1.113,67.63136607385836,408.2793,209.58772835754152,2596.513797549764,101.0145,52.8766,592.3668,125.8511,0.0,143.8317,1.7754
Bhutan,1990,-0.087,Landlocked,747456.0,449228.0,88052.0,1.4486,23.4914,9.0666,84.7288,0.0,0.0,1.0543,-6609.6322,0.0,9.564,4.4678,0.0638,67.63136607385836,63.692,252.2141899664796,4036.9924930079096,27.7429,14.3039,67.8172,42.7558,0.0,6.9061,3.5099
Botswana,1990,0.738,Landlocked,17554224.0,800111.0,577801.0,5360.7915,44.1559,10.8438,248.06149701135485,513.4005,1.0,74.1638,0.0,40513.8067,42.908,67.1252,92.7131,67.63136607385836,98.3931,214.00335113008487,4995.108963424547,25.367,25.8995,1330.8092,108.8843,0.0,0.0,77.4886
Brazil,1990,0.435,Coastal,4650031782.0,38948117.0,110404028.0,11123.1473,12184.1197,3854.2338,7178.5555,339.8606,900.0,9004.3406,-346950.8412,1385208.6765,11511.4232,5115.7826,383.2963,2449.3807,69692.0523,3514.2136,2075.5172,36277.7759,7873.0943,62149.7548,9149.7466,0.0,11926.1041,11425.0649
Bulgaria,1990,0.797,Coastal,2324788510.0,2972728.0,5868643.0,5.4158,6.2065,500.4746,83.0256,1132.4989,153.0,248.9868,-25291.475,2323.2,1133.9554,506.4286,707.6313,1047.6284,955.2738,1400.4744,2.1863,7208.7536,850.1236,837.2369,1443.489,0.0,0.0,2087.8193
Burkina Faso,1990,0.603,Landlocked,9273584.0,7593826.0,1217208.0,1731.0729,714.8419,143.0346,160.4848,0.0,1.0,29.6883,4535.52,7724.64,6.9971,109.7104,1.122,67.63136607385836,1307.3466,209.58772835754152,356.4910168671663,42.5257,102.6682,2599.215,321.5183,0.0,58.998,
Burundi,1990,0.279,Landlocked,3768897.0,5075806.0,339609.0,24.4799,5.6374,38.4689,23.52,2905.3453,2.0,14.8452,-1.4222,2077.972,1.0252,36.4937,0.874,67.63136607385836,703.8857,209.58772835754152,6218.031759228308,17.9158,16.9244,300.6923,38.584,0.0,0.8353,11.733
Cambodia,1990,0.674,Coastal,12310999.0,7578325.0,1395017.0,1201.9436,4992.8835,286.9735,8105.6525,0.0,13.022933513903723,110.9521,-607.7215,4777.0038,19.8852,510.7224,17.00466278502689,70.52392252172368,362.6562,486.2189189815773,356.4910168671663,19.919,267.068,642.4858,1031.2841,0.0,2679.3539,0.1838
Cameroon,1990,0.651,Coastal,68560499.0,7069277.0,4645941.0,2292.009,1459.3803,64.6075,21.6384,1285.5351,7.0,134.3842,-169.917,51287.1809,35.9205,270.6189,0.3039,67.63136607385836,1672.8764,209.58772835754152,356.4910168671663,1535.2467,157.8194,2473.9829,396.9929,0.0,1327.7284,
Canada,1990,0.078,Coastal,17166174255.0,6485207.0,21207473.0,819.7796,1678.9061,3656.9629,1368.7218726914737,36099.15,118.0,12569.1112,-67909.0539,113851.7825,8809.8536,2754.6905,1734.3159,3709.7246,4760.5456,2812.442361100595,8649.8735,49517.4751,1294.8516,3835.7051,6842.7669,0.0,0.0,11979.517
Chad,1990,0.416,Landlocked,4858464.0,4717152.0,1239707.0,5517.331,2115.7981,54.8169,72.2338,0.0,3.0,28.0127,-37.2057,7663.3333,32.6825,137.2091,6.2704,67.63136607385836,715.8559,209.58772835754152,356.4910168671663,25.9174,42.4831,2319.7535,235.0876,0.0,1290.5473,30.1404
Chile,1990,0.214,Coastal,1005185393.0,2215333.0,11026799.0,29.9029,186.2412,189.1434,201.8494,995.0727,124.0,950.9331,-20763.102,3010.0184,1137.5575,156.2376,41.3413,184.9606,2840.5397,359.3028196369061,9.6683,1433.1181,322.8999,1755.531,283.3113,0.0,0.0,575.3585
Colombia,1990,0.31,Coastal,1303002462.0,10459380.0,23812185.0,1420.5829,362.5278,312.3966,3023.2138,403.2156,386.0,1779.0058,-2843.1953,94828.6335,2100.9905,398.9408,12.8039,598.7016,9403.1192,2383.5493,43.341,3601.3151,1213.9412,10140.7323,1238.8283,0.0,332.7137,2687.5131
Cook Islands,1990,0.19,Landlocked,549600.0,7762.0,10594.0,0.0,0.0,,921.6641089401876,0.0,0.0,1.7021,-21.209,0.0,,37.83863072271242,0.2245,212.0336516148264,65.0723473790681,267.88728348701545,1005.5877524588848,0.156,0.736,0.709,7.2857,0.0,0.0,3.99
Costa Rica,1990,0.591,Coastal,59676341.0,1547893.0,1548102.0,11.1555,27.6785,20.9658,39.846,121.5115,7.0,177.7546,-909.3333,3190.8507,34.25,14.4249,0.3522,0.3758,1297.3354,7.7901,356.4910168671663,411.574,108.5505,877.8178,112.0561,0.0,21.8876,46.8739
Cuba,1990,0.836,Coastal,851163188.0,2818688.0,7763393.0,52.6404,57.2901,43.0999,1214.3846,0.0,140.3487886172675,1036.5388,-10946.034,120.835,751.332,784.0613,230.0524,4.894,3194.8908,253.3551449733149,6.4609,2686.2153,277.3474,2291.4653,366.5937,0.0,51.8669,3870.1894
Cyprus,1990,0.069,Coastal,80506578.0,254703.0,511911.0,0.988,0.0145,9.3853,246.40727646443952,0.0,49.0,87.6156,-69.5346,0.0,62.4313,60.159,46.3431,41.027,236.0282,59.2159,2213.577765693235,766.5268,24.9917,75.5587,58.5085,0.0,0.0,60.8558
Denmark,1990,1.843,Coastal,2554714449.0,779214.0,4361901.0,0.0592,0.0622,587.7908,926.3422784724488,2394.1906,64.0,782.8402,-822.9159,0.0,2239.3833,1077.9941,1160.225,289.138,1358.4568,3381.2981,615.1638505031165,4839.2894,959.3347,424.713,2969.0012,0.0,0.0,2654.864
Djibouti,1990,0.524,Coastal,7009232.0,141949.0,448449.0,0.0014,0.0004,0.3338,246.40727646443952,0.0,11.481084565896976,4.3832,0.0,0.0,5.0654,9.5103,1.4871,67.63136607385836,44.9755,209.58772835754152,1106.7563925383438,3.5817,3.0188,166.2634,16.8545,0.0,0.0,17.1046
Dominica,1990,0.436,Coastal,989280.0,26187.0,44739.0,0.0,0.0,0.0102,448.3574670073912,0.0,11.481084565896976,4.2263,0.1781,54.9141,3.7074,0.1372,0.543,128.20038881234169,15.6308,209.58772835754152,1815.538497796492,0.8173,2.0401,6.0744,1.1746,0.0,0.0,0.5004
Ecuador,1990,0.503,Coastal,317859362.0,4588951.0,5629140.0,15.9962,10.3421,115.6013,1582.8372,16.5996,16.0,619.5382,-1042.183,37579.7727,671.1929,43.1657,186.1026,67.63136607385836,3687.4925,393.6057404879472,356.4910168671663,1128.1713,406.0441,2020.6421,456.5557,0.0,1.2982,460.3758
El Salvador,1990,0.492,Coastal,57676994.0,2665664.0,2589320.0,3.2127,6.6338,49.3135,11.1775,0.0,43.0,141.6819,-61.5014,1142.5814,89.077,7.7057,2.5053,67.63136607385836,1582.3645,209.58772835754152,2393.117896231216,337.0161,93.347,485.3168,82.812,0.0,2.6273,78.7346
Finland,1990,1.249,Coastal,1492259431.0,1030867.0,3965355.0,0.767,0.6875,258.0725,898.1124775927215,10702.4712,47.0,875.3393,-38482.9987,1917.8619,535.8356,266.3978,193.6007,423.1563,1406.1842,1021.8494,435.1065154633317,3591.2329,383.3278,261.5946,968.6966,0.0,0.0,2429.1465
France,1990,1.591,Coastal,27420846342.0,14777908.0,42182927.0,5.7941,20.8225,3214.607,287.8848,6082.4233,1573.0,10317.951218318294,-30397.84,0.0,7190.5021,7102.5272,228.9231,2555.606,7544.6819,34396.0705,1143.6356,58060.3258,5825.8021,4861.4256,12929.3006,0.0,0.0,12274.7055
French Polynesia,1990,0.397,Landlocked,8771616.0,83611.0,114764.0,0.0,0.0072,0.0175,246.40727646443952,0.0,1.0,17.157,-116.7509,0.0,3.5725,35.40695887651221,17.00466278502689,134.46383533197005,9.3078,386.1925718678925,2005.7921290780253,,1.755,5.6048,15.442,0.0,0.0072,5.9296
Gabon,1990,0.124,Coastal,116808839.0,293827.0,658385.0,203.7109,47.2405,1.5839,0.784,492.5978,11.481084565896976,36.1233,0.0,2939.7053,38.9822,7.9751,3.0429,67.63136607385836,121.0096,1.7408,6953.792966638916,58.2074,15.6251,38.1123,27.9067,0.0,47.1782,11.4515
Germany,1990,1.571,Coastal,66792076951.0,21268451.0,57849875.0,0.1033,1.0356,2311.1679,3964.667080407864,28473.9036,1948.0,12253.1775,-61226.308,0.0,35637.1562,18013.2701,15003.167253382237,7528.7183,22863.351,20569.4847,1308.9653,82756.7768,6303.1063,4070.6738,16763.4736,0.0,0.0,
Ghana,1990,0.526,Coastal,87754458.0,9297561.0,5330699.0,3756.9921,192.4718,59.9158,92.1984,84.4842,1.0,189.3366,-13821.5288,23593.3071,43.9264,188.5638,0.0047,0.0791,3396.2665,178.05810542859837,356.4910168671663,1316.4403,59.8599,835.4911,143.6255,0.0,183.888,178.7426
Greece,1990,0.368,Coastal,1324791889.0,2924228.0,7324309.0,15.9779,28.832,263.6059,232.848,1292.2724,63.0,1222.2863,-2343.0551,0.0,3067.4234,1257.2744,1573.8974,999.6016,4587.9338,1632.2031,255.5233,12275.0915,400.7533,1371.8154,905.5095,0.0,0.0,3123.1095
Greenland,1990,-0.348,Landlocked,15207226.0,11289.0,44315.0,0.0784,0.0,,1123.9382322317097,0.0,11.481084565896976,5.5504,-0.1356,0.0,6.7205,1.3686,0.1605,0.109,2.6563,25.5739,2005.7921290780253,,,2128.6037254870294,,0.0,0.0,43.488
Grenada,1990,0.203,Coastal,1663456.0,64099.00000000001,32184.0,0.0,0.0043,0.0243,246.40727646443952,0.0,11.481084565896976,4.5731,0.0,0.0,9.186,1.7103,17.00466278502689,128.20038881234169,30.2323,209.58772835754152,658.5406035363438,2.5969,0.821,3.8459,0.9647,0.0,0.0043,6.3302
Guadeloupe,1990,0.432,Landlocked,16877170.0,13993.0,371885.0,0.0,0.0,,854.6727815931768,0.0,11.481084565896976,50.7413,0.0,66.66,21.9112,50.39273817665109,0.3126,77.39365076150476,66.91570996841124,396.3891812871053,2005.7921290780253,,3.6964,34.4136,6.0801,0.0,0.0,2.5248
Guatemala,1990,0.309,Coastal,102013992.0,5373790.0,3890023.0,114.3092,499.0734,85.9693,11.1955,0.0,183.0,246.2217,-366.4613,16490.76,152.5912,39.0804,0.847,67.63136607385836,2459.4995,271.2436731670758,1530.083955224099,767.2097,186.9879,858.1556,193.7332,0.0,484.7736,98.4167
Guinea,1990,0.653,Coastal,26516368.0,4348022.0,1693072.0,2824.915,247.0885,85.5923,1339.6912,706.9234,3.0,28.9273,-89.4923,9877.472,6.3233,88.1606,14.8945,67.63136607385836,591.3951,209.58772835754152,356.4910168671663,32.3176,18.6434,703.8088,61.8494,0.0,243.2402,44.2772
Guinea-Bissau,1990,0.96,Coastal,3440496.0,700198.0,312082.0,315.0207,344.4118,13.676,117.796,1.1817,1.0,6.384,-2.816,1489.136,4.2277,12.6275,1.4357,67.63136607385836,218.1463,209.58772835754152,5487.072362112996,4.9229,28.9018,207.4508,60.8324,0.0,344.4118,10.0057
Guyana,1990,0.527,Coastal,46203040.0,523416.00000000006,219893.0,31.6367,34.7888,11.3112,382.4325,1427.401,17.0,27.9223,0.0,4015.6997,29.0329,31.8129,11.5238,67.63136607385836,158.6177,209.58772835754152,4276.240186159776,3.8709,9.3145,80.9953,11.7156,0.0,33.5891,216.6847
Haiti,1990,0.694,Coastal,20185055.0,5075587.0,2024145.0,0.478,0.0642,33.5852,192.864,0.0,0.0,47.7789,-138.1928,207.8648,26.1907,519.6231,19.70920653069644,67.63136607385836,2486.2875,209.58772835754152,356.4910168671663,106.0207,70.2244,634.0781,102.0571,0.0,0.0493,14.2283
Honduras,1990,0.258,Coastal,52312710.0,2950398.0,2004930.0,135.3009,426.2687,45.3722,13.7749,0.0,35.0,118.0735,0.0,5534.1368,30.0691,107.7276,1.5741,0.0286,1669.6597,131.56912352369383,2494.6714214247645,303.0144,144.7669,989.2212,157.2858,0.0,362.6529,48.2719
Hungary,1990,1.07,Landlocked,3332400574.0,3545220.0,6832431.0,0.616,1.462,718.1358,92.0494,5707.9757,352.0,736.3811,-4186.2381,0.0,1586.5177,1062.4239,974.2675,840.9812,587.31,3016.6917,908.8082,8648.1707,919.3399,340.6488,1889.5498,0.0,0.0,2797.3797
Iceland,1990,0.169,Coastal,59211884.0,23591.0,231452.0,0.041,0.0,0.1522,246.40727646443952,731.1029,0.0,71.8737,-20.1724,0.0,0.8004,10.4893,0.6087,8.565,170.3224,157.3414,1867.9443802787016,1660.1266,27.093,71.1233,57.7038,0.0,0.0,733.7307
India,1990,-0.081,Coastal,11016840334.0,647836752.0,222296728.0,333.7507,4560.8585,15344.5174,126167.9535,5007.9141,2401.0,9715.1767,-227396.9133,0.0,7236.7992,10158.9974,37680.5034,1591.2462,114685.8472,360.3932,3034.6653,48164.8065,10603.0003,45732.0608,30870.2642,0.0,1290.5445,14986.1127
Indonesia,1990,0.089,Coastal,2899213307.0,125945478.0,55491343.0,472.1743,4771.0199,3323.978,62173.7854,187396.1346,163.0,2737.9393,-487800.4147,724602.1998,2775.0117,1651.7631,828.0607,517.5611,66953.6294,1731.3367,4793.842049638047,16028.0466,2057.5471,5442.2768,5233.5642,250598.2596,4690.0281,3334.341
Iraq,1990,0.356,Coastal,1205487882.0,5292104.0,12176901.0,81.3996,11.7017,276.6637,620.928,0.0,26.0,2438.5086,-137.3753,0.0,1416.97,49.59,412.062,100.65913249989588,6695.8806,342.8002569112587,12.814,5911.4541,88.9945,1898.5407,216.8172,0.0,0.0,
Ireland,1990,0.829,Coastal,1009180760.0,1537311.0,2031946.0,2.1526,0.4185,122.0358,604.1500401530162,11386.9775,6.0,379.2866,-3578.095,0.0,681.8047,479.8769,323.8771,166.9871,646.32,1966.1213,440.097139108734,3171.3455,1302.9994,1498.2866,2744.6731,0.0,0.0,853.7496
Israel,1990,-0.112,Coastal,628559846.0,433872.0,4066603.0,0.7296,0.0034,25.733,248.06149701135485,0.0,129.0,921.151,-25.8793,1.6353,766.7168,1209.8699,798.7975,131.3812,212.9909,614.0681,15.3735,2595.1392,36.0925,300.7656,61.1988,0.0,0.0,779.7727
Italy,1990,1.132,Coastal,11873147895.0,19008391.0,38118729.0,8.1112,17.8496,1117.0557,3021.7179,707.0844,1807.0,7185.5116,-35316.1233,0.0,12427.3875,7331.7451,2467.0472,4490.712,9642.2443,33933.4019,1023.5041,42574.0254,3087.6731,2629.2996,7634.7677,0.0,0.0,9253.1075
Jamaica,1990,0.56,Coastal,181329132.0,1225612.0,1198630.0,0.3123,0.7944,0.3577,0.2916,179.6158,23.0,130.7633,154.051,19.7929,135.4162,16.606,126.6215,67.63136607385836,1146.009,232.6111150114557,2837.1258627598213,246.0358,40.2966,201.6074,48.2502,0.0,0.7794,3277.7997
Japan,1990,1.132,Coastal,28813782159.0,28217054.0,96298507.0,1.0504,13.4631,861.3868,12073.1688,5435.4619,1776.0,22759.4621,-82832.9333,1990.2667,12795.4478,17272.2468,1365.9514,10608.6566,11923.3001,14295.2368,667.1402,106968.7347,1179.9672,1557.8294,2688.0666,0.0,0.0,19717.6982
Jordan,1990,-0.03,Coastal,130089450.0,950984.0,2609598.0,0.049,0.0,10.6414,248.06149701135485,0.0,19.0,308.094,0.0,0.0,231.1628,10.9869,60.755,37.856,1145.2382,131.56912352369383,153.219,1039.3055,10.2413,230.9382,23.5276,0.0,0.0,517.5124
Kenya,1990,-0.05,Coastal,143616464.0,19483070.0,3919437.0,208.9105,23.9599,198.3447,25.9916,158.1011,48.0,333.4723,-4458.2606,0.0,12.1799,7.5484,1.7534,67.63136607385836,4913.2931,10.6529,356.4910168671663,706.9825,235.8898,7785.8288,639.0774,0.0,0.3672,210.312
Kiribati,1990,0.222,Coastal,681504.0,47077.0,25335.0,0.0,0.0,,6550.672223512449,0.0,11.481084565896976,1.3161,,,0.9917,35.40695887651221,17.00466278502689,67.63136607385836,3.4216,252.2141899664796,1922.0556140048525,0.7916,0.926,0.031,4.2688,0.0,0.0,0.8243
Kuwait,1990,0.396,Coastal,782462344.0,42535.0,2057080.0,0.0005,0.0,0.1204,246.40727646443952,0.0,2.0,490.1097,-19.0487,0.0,1011.193,623.5631,353.6259,7.5155,1001.269,160.04771792803913,42.6108,2753.0971,14.5587,92.5865,20.3575,0.0,0.0,
Lebanon,1990,0.059,Coastal,185747529.0,456258.0,2246758.0,0.2318,0.0484,8.2078,246.40727646443952,0.0,64.0,227.7847,-6.5866,19.5178,331.9444,522.2913,119.7565,67.63136607385836,577.6768,232.6111150114557,374.5234206064291,226.59,19.68,157.527,26.9514,0.0,0.0,334.8738
Liberia,1990,0.581,Coastal,31817401.0,934908.0,1162324.0,28.9707,143.529,24.4708,57.624,90.4156,12.232870648918505,10.255,-377.9245,13660.148,,0.0006,509.21529823344406,212.0336516148264,76.876,294.06702220191835,599.422428878187,32.4068,13.0267,65.2748,23.8871,0.0,143.2604,2.4905
Libya,1990,0.557,Coastal,636937538.0,1077082.0,3359579.0,0.5397,0.0,28.5588,248.06149701135485,0.0,83.0,692.9556,0.0,0.0,1435.5674,131.2237,877.1376,74.59036885038944,272.1196,298.3525571639361,103.1861,3172.8095,20.7842,668.522,62.4714,0.0,0.0,
Liechtenstein,1990,1.308,Landlocked,198968.0,23881.0,4866.0,0.0,0.0,,9239.011226093207,0.0,11.481084565896976,0.0001,10.7375,11.8279,0.0,0.0,17.00466278502689,67.63136607385836,6.9341,451.19629118273247,1746.6203257127331,11.0601,,2294.30791696942,,0.058149492894556,,2.1121
Malawi,1990,0.616,Landlocked,19627724.0,8346561.0,1090992.0,281.4975,410.4235,100.9752,56.9223,838.0748,2.0,46.0458,0.0,7068.6,2.691,66.6793,5.1257,67.63136607385836,370.8195,209.58772835754152,356.4910168671663,117.75,31.9205,456.2382,73.751,0.0,305.1005,24.6167
Malaysia,1990,0.548,Coastal,823750594.0,9056348.0,8981973.0,9.3378,299.182,142.5516,3409.8248,20636.0102,1677.0,1622.5823,36389.6148,42354.9935,2606.2425,98.7597,82.5455,412.9719914684917,6292.5161,1635.1704022167612,583.2095625662666,6342.3653,245.1104,389.4731,826.001,9251.0577,288.2142,772.1111
Maldives,1990,0.528,Coastal,967296.0,165536.0,57679.0,0.0,0.0,0.0004,999.9263249921964,0.0,1.0,10.3967,0.0,0.0,0.8791,2.1102,1.2952,172.1797793227163,58.5622,451.19629118273247,1502.4379476823492,0.7738,,2294.30791696942,,0.0,0.0,18.6986
Mali,1990,0.903,Landlocked,9276719.0,6490895.0,1974293.0,4086.7353,2201.585,150.9931,385.3968,0.0,11.606164948241496,32.223,-499.5833,499.5833,10.3341,117.0517,17.00466278502689,67.63136607385836,700.7427,242.33271466301449,356.4910168671663,52.5247,74.8198,3214.3274,308.4631,0.0,251.5277,7.0463
Malta,1990,1.235,Coastal,32262735.0,35054.0,329377.0,0.0,0.0,0.8418,246.40727646443952,0.0,13.0,34.0548,-0.1228,0.0,72.7125,2.8542,0.8617,67.63136607385836,115.465,209.58772835754152,1186.92864182882,36.8455,12.171,5.9639,56.6211,0.0,0.0,13.8508
Martinique,1990,0.424,Landlocked,24404755.0,49167.0,309282.0,0.0,0.0,,764.8928096232963,0.0,12.328280513854102,63.3757,-59.4,0.0,,51.933673003391526,492.7371464768823,209.11661913222423,66.91570996841124,468.9198287651613,2005.7921290780253,,4.3645,21.0556,6.5489,0.0,0.0,8.6756
Mauritius,1990,0.22,Coastal,20067728.0,592342.0,463526.0,0.0136,0.0551,0.2971,0.0149,0.0,4.0,45.502,-22.9373,0.0,22.045,7.7469,7.9619,67.63136607385836,220.327,209.58772835754152,5027.1946212360135,155.3408,3.4133,35.2035,6.4578,0.0,0.0,3.5099
Mayotte,1990,0.234,Landlocked,66014.0,60608.0,34176.0,0.0,0.0205,,2523.401946917135,0.0,11.481084565896976,3.3614,-2.2774,66.3848,0.2681,37.83863072271242,17.00466278502689,77.39365076150476,65.0723473790681,451.19629118273247,2005.7921290780253,,,2148.251692850715,,0.0,0.0205,2.6416
Mexico,1990,0.274,Coastal,7325126370.0,24396091.0,60961783.0,780.139,2366.4117,1517.3994,338.8042,0.0,638.0,9502.8496,-3.3311,22314.8361,15386.6905,2500.3202,3715.6916,3105.2778,43875.5592,4757.4103,4.1208,24118.0307,2172.7502,16686.4249,3322.0301,0.0,1076.8102,5290.3392
Mongolia,1990,1.53,Landlocked,162024410.0,938471.0,1245674.0,488.5327,153.9952,57.8084,309.9402770166487,22220.9071,5.0,191.4478,-64.002,1281.8377,140.077,149.1072,89.6093,69.90189747754022,1420.2462,471.2375553301112,398.7056220138012,159.1744,496.8691,2372.3023,893.2306,0.0,0.0,392.1489
Montserrat,1990,0.417,Landlocked,487312.0,9389.0,1341.0,0.0094,0.016,0.0062,2771.354586615559,0.0,12.232870648918505,1.0543,0.0093,22.5058,,37.83863072271242,548.4029167056395,1073.2412364429035,65.0723473790681,1727.6031137058649,2005.7921290780253,,,2148.251692850715,,0.0,0.016,0.7541
Morocco,1990,1.409,Coastal,401340810.0,12839857.0,12039279.0,2.506,1.6759,495.1318,6.272,0.0,275.0,734.1015,-4931.4487,37.1349,1947.6013,763.9473,343.6376,128.251,3649.4275,300.5822,0.0294,2071.9155,136.4934,3500.4576,316.1033,0.0,0.0,446.7047
Myanmar,1990,0.215,Coastal,198965151.0,30371017.0,10255233.0,772.4356,11619.0032,1072.1038,20858.0001,14185.9182,5.0,124.117,-128.4116,122219.8567,125.5867,104.193,24.28511731117528,1.2622,6144.6242,464.294843518709,14.7319,497.4091,1011.3191,2509.2006,3372.4193,3521.6122,8943.8024,135.5461
Namibia,1990,0.726,Coastal,0.0,1023439.0,391253.0,3716.3582,9.8418,7.9192,246.40727646443952,2.3704,0.0,60.53817738287584,0.0,10557.7953,,39.391,1110.3795068131017,248.6866802372096,112.947,294.06702220191835,5041.894388237021,21.8525,23.5384,1259.3739,101.6795,0.0,0.0,
Nepal,1990,-0.035,Landlocked,12970814.0,17089267.0,1660139.0,26.7509,765.1546,438.39,4266.7913,2237.257,1.0,31.6471,-4304.1045,0.0,4.9676,163.0621,0.4752,124.10557448145366,2367.2165,529.0269334295339,356.4910168671663,95.9972,356.5428,1562.391,920.3856,0.0,721.2577,21.1096
New Caledonia,1990,0.764,Landlocked,55952830.0,68633.0,101154.0,2.0596,1.8536,0.0935,246.40727646443952,0.0,0.0,31.9732,-207.8877,0.0,3.3682,5.7864,17.00466278502689,42.0752,9.0276,308.17396703404506,1.2874,,4.5457,70.0731,31.1305,0.0,1.8536,8.8087
New Zealand,1990,0.572,Coastal,878164809.0,518492.0,2879680.0,0.5935,1.5707,51.0236,551.0320916046244,2436.5418,50.0,913.7826,-28066.3639,1012.7981,209.5285,345.3329,74.6223,195.7431,997.5809,691.5166,60.8869,2720.4398,276.2365,11634.8731,2742.8447,0.0,0.0,1323.8498
Nicaragua,1990,0.35,Coastal,54598267.0,1944855.0,2199710.0,94.4084,124.2433,37.7155,36.0013,48.1347,9.0,76.5928,-38.3198,19489.9865,71.6176,86.7914,40.6756,67.63136607385836,1700.7693,209.58772835754152,356.4910168671663,115.0121,100.3209,1327.3128,178.6354,0.0,121.8219,81.6944
